body,author
"It is a truth universally acknowledged, that a single man in possession of a good fortune, must be in want of a wife.","Jane Austen"
"Call me Ishmael.","Herman Melville"
"It was the best of times, it was the worst of times.","Charles Dickens"
"All happy families are alike; each unhappy family is unhappy in its own way.","Leo Tolstoy"
"To be or not to be, that is the question.","William Shakespeare"
"Reader, I married him.","Charlotte Brontë"
"It is our choices that show what we truly are, far more than our abilities.","J.K. Rowling"
